--- Experiment Results for knapsack-20.txt (n=20, W=524) ---
Run 43: Quality = 721, Time = 0.1153s
Run 44: Quality = 754, Time = 0.1051s
Run 45: Quality = 749, Time = 0.1172s
Run 46: Quality = 776, Time = 0.1070s
Run 47: Quality = 754, Time = 0.1004s
Run 48: Quality = 779, Time = 0.1128s
Run 49: Quality = 719, Time = 0.0897s
Run 50: Quality = 757, Time = 0.1207s
Run 51: Quality = 756, Time = 0.1001s
Run 52: Quality = 757, Time = 0.1122s
Run 53: Quality = 756, Time = 0.0998s
Run 54: Quality = 737, Time = 0.0996s
Run 55: Quality = 752, Time = 0.1160s
Run 56: Quality = 787, Time = 0.0998s
Run 57: Quality = 765, Time = 0.0915s
Run 58: Quality = 773, Time = 0.0956s
Run 59: Quality = 745, Time = 0.1052s
Run 60: Quality = 744, Time = 0.1075s
Run 61: Quality = 741, Time = 0.1112s
Run 62: Quality = 740, Time = 0.1169s
Run 63: Quality = 762, Time = 0.1090s
Run 64: Quality = 776, Time = 0.1149s
Run 65: Quality = 735, Time = 0.0987s
Run 66: Quality = 763, Time = 0.1123s
Run 67: Quality = 742, Time = 0.0936s
Run 68: Quality = 759, Time = 0.0974s
Run 69: Quality = 745, Time = 0.1053s
Run 70: Quality = 746, Time = 0.1064s
Run 71: Quality = 748, Time = 0.1045s
Run 72: Quality = 743, Time = 0.1225s
Run 73: Quality = 765, Time = 0.0991s
Run 74: Quality = 751, Time = 0.1104s
Run 75: Quality = 748, Time = 0.1208s
Run 76: Quality = 743, Time = 0.1211s
Run 77: Quality = 772, Time = 0.1059s
Run 78: Quality = 744, Time = 0.1052s
Run 79: Quality = 776, Time = 0.1204s
Run 80: Quality = 733, Time = 0.1110s
Run 81: Quality = 731, Time = 0.0989s
Run 82: Quality = 739, Time = 0.0982s
Run 83: Quality = 718, Time = 0.0976s
Run 84: Quality = 739, Time = 0.1000s
Run 85: Quality = 733, Time = 0.1026s
Run 86: Quality = 756, Time = 0.1143s
Run 87: Quality = 753, Time = 0.1034s
Run 88: Quality = 776, Time = 0.1122s
Run 89: Quality = 776, Time = 0.1087s
Run 90: Quality = 762, Time = 0.0983s
Run 91: Quality = 747, Time = 0.1221s
Run 92: Quality = 733, Time = 0.1209s
Run 93: Quality = 752, Time = 0.1038s
Run 94: Quality = 737, Time = 0.0990s
Run 95: Quality = 725, Time = 0.1028s
Run 96: Quality = 752, Time = 0.1143s
Run 97: Quality = 741, Time = 0.1107s
Run 98: Quality = 754, Time = 0.1016s
Run 99: Quality = 765, Time = 0.0987s
Run 100: Quality = 785, Time = 0.1042s
>> Average Quality for k=10000: 751.73
